cluster,n_patients,feature,roi,rho,p,n,signed_log10p,subcortical
1,14,Z,ctx_lh_parsorbitalis,0.2571428571428571,0.3748119038799703,14,0.42618662454176137,False
1,14,Z,ctx_lh_parstriangularis,-0.0945054945054945,0.7479382611415478,14,-0.12613424966515466,False
1,14,Z,ctx_lh_pericalcarine,-0.02857142857142857,0.9227613765698746,14,-0.03491059175564594,False
1,14,Z,ctx_lh_postcentral,-0.16923076923076924,0.5630172739962107,14,-0.2494782803064714,False
1,14,Z,ctx_lh_posteriorcingulate,-0.5296703296703297,0.05141659813787076,14,-1.2888966608480508,False
1,14,Z,ctx_lh_precentral,-0.4945054945054946,0.07224967403413257,14,-1.1411641079554542,False
1,14,Z,ctx_lh_precuneus,0.13406593406593406,0.6477195279851131,14,0.18861300927877392,False
1,14,Z,ctx_lh_rostralanteriorcingulate,0.015384615384615385,0.9583697893719862,14,0.018466884975459116,False
1,14,Z,ctx_lh_rostralmiddlefrontal,0.3054945054945055,0.2881698858754571,14,0.5403514054840255,False
1,14,Z,ctx_lh_superiorfrontal,-0.4241758241758242,0.13063731043811047,14,-0.883932769437274,False
1,14,Z,ctx_lh_superiorparietal,0.1032967032967033,0.725282211088945,14,0.13949297429704627,False
1,14,Z,ctx_lh_superiortemporal,0.23956043956043957,0.4094298928517326,14,0.3878204522777646,False
1,14,Z,ctx_lh_supramarginal,-0.1164835164835165,0.6916912502331573,14,-0.16008771803173125,False
1,14,Z,ctx_lh_temporalpole,-0.06813186813186813,0.8169838797817922,14,-0.08778651261187237,False
1,14,Z,ctx_lh_transversetemporal,-0.4153846153846154,0.1396659475175257,14,-0.8549094679584339,False
1,14,Z,ctx_rh_bankssts,0.12087912087912088,0.6806070200628929,14,0.16710357572382126,False
1,14,Z,ctx_rh_caudalanteriorcingulate,-0.3538461538461538,0.21453987088124626,14,-0.6684919850894805,False
1,14,Z,ctx_rh_caudalmiddlefrontal,-0.4197802197802198,0.13510107382914271,14,-0.869341199044455,False
1,14,Z,ctx_rh_cuneus,-0.3406593406593406,0.23331605103682404,14,-0.6320553827796105,False
1,14,Z,ctx_rh_entorhinal,-0.01978021978021978,0.9464892274080114,14,-0.023884324651986533,False
1,14,Z,ctx_rh_frontalpole,-0.3758241758241759,0.185410028697123,14,-0.731866778875294,False
1,14,Z,ctx_rh_fusiform,0.04615384615384615,0.8755025376321142,14,0.0577425907821032,False
1,14,Z,ctx_rh_inferiorparietal,-0.24395604395604395,0.400624803916119,14,-0.39726216570039813,False
1,14,Z,ctx_rh_inferiortemporal,0.1956043956043956,0.5027500912969567,14,0.29864784186546034,False
1,14,Z,ctx_rh_insula,-0.3098901098901099,0.2809332808692584,14,-0.551396808887754,False
1,14,Z,ctx_rh_isthmuscingulate,-0.08131868131868132,0.7822747512440957,14,-0.10664068684757368,False
1,14,Z,ctx_rh_lateraloccipital,-0.5692307692307692,0.03361941707727023,14,-1.473409821007186,False
1,14,Z,ctx_rh_lateralorbitofrontal,0.05054945054945055,0.8637420361792153,14,0.06361594385434859,False
1,14,Z,ctx_rh_lingual,-0.3450549450549451,0.2269486800417005,14,-0.644072338817906,False
1,14,Z,ctx_rh_medialorbitofrontal,0.03736263736263736,0.899093096973967,14,0.04619533673311713,False
1,14,Z,ctx_rh_middletemporal,-0.02857142857142857,0.9227613765698746,14,-0.03491059175564594,False
1,14,Z,ctx_rh_paracentral,-0.6967032967032967,0.005628677002967549,14,-2.2495936722588943,False
1,14,Z,ctx_rh_parahippocampal,-0.2,0.49300373503999984,14,-0.3071497904568126,False
1,14,Z,ctx_rh_parsopercularis,-0.3450549450549451,0.2269486800417005,14,-0.644072338817906,False
1,14,Z,ctx_rh_parsorbitalis,0.13406593406593406,0.6477195279851131,14,0.18861300927877392,False
1,14,Z,ctx_rh_parstriangularis,-0.054945054945054944,0.8520077036323677,14,-0.06955647843763954,False
1,14,Z,ctx_rh_pericalcarine,-0.21318681318681318,0.4643028200397442,14,-0.33319867854795404,False
1,14,Z,ctx_rh_postcentral,-0.3494505494505495,0.22068999774644735,14,-0.6562173497652234,False
1,14,Z,ctx_rh_posteriorcingulate,-0.5252747252747253,0.05374750176788299,14,-1.2696417173405001,False
1,14,Z,ctx_rh_precentral,-0.5736263736263736,0.03197081397639698,14,-1.4952463064572001,False
1,14,Z,ctx_rh_precuneus,-0.1076923076923077,0.7140308087262492,14,-0.14628304904855735,False
1,14,Z,ctx_rh_rostralanteriorcingulate,-0.3054945054945055,0.2881698858754571,14,-0.5403514054840255,False
1,14,Z,ctx_rh_rostralmiddlefrontal,-0.07692307692307693,0.7938058883554533,14,-0.10028568387330485,False
1,14,Z,ctx_rh_superiorfrontal,-0.2923076923076923,0.3105263203858819,14,-0.5079015828822612,False
1,14,Z,ctx_rh_superiorparietal,-0.16923076923076924,0.5630172739962107,14,-0.2494782803064714,False
1,14,Z,ctx_rh_superiortemporal,-0.2175824175824176,0.4549193731700327,14,-0.34206556793661375,False
1,14,Z,ctx_rh_supramarginal,-0.2835164835164835,0.32596594744177265,14,-0.48682776683566786,False
1,14,Z,ctx_rh_temporalpole,-0.3802197802197802,0.17990614630608154,14,-0.7449539991824212,False
1,14,Z,ctx_rh_transversetemporal,-0.3010989010989011,0.2955144656072166,14,-0.529421255291602,False
2,10,Z,Left_Accumbens_area,-0.1515151515151515,0.6760651759978538,10,-0.17001143392259718,True
2,10,Z,Left_Amygdala,0.13939393939393938,0.7009318849100584,10,0.15432418380938717,True
2,10,Z,Left_Caudate,-0.11515151515151514,0.7514196523258483,10,-0.12411745076177128,True
2,10,Z,Left_Cerebellum_Cortex,0.18787878787878787,0.603217610029209,10,0.21952598838019957,True
2,10,Z,Left_Hippocampus,-0.17575757575757575,0.6271883447764844,10,-0.20260202086936144,True
2,10,Z,Left_Pallidum,0.16363636363636364,0.6514773427962428,10,0.18610068366539814,True
2,10,Z,Left_Putamen,0.28484848484848485,0.42503815489214547,10,0.3715720823841724,True
2,10,Z,Left_Thalamus,-0.09090909090909088,0.8027717312071619,10,-0.0954079291552768,True
2,10,Z,Left_VentralDC,-0.32121212121212117,0.3654683104386702,10,-0.43715027451535776,True
2,10,Z,Right_Accumbens_area,0.17575757575757575,0.6271883447764844,10,0.20260202086936144,True
2,10,Z,Right_Amygdala,-0.23636363636363633,0.5108853175152002,10,-0.29167657845642647,True
2,10,Z,Right_Caudate,-0.0303030303030303,0.9337729580941466,10,-0.029758707317340795,True
2,10,Z,Right_Cerebellum_Cortex,0.2727272727272727,0.44583834154275137,10,0.35082258546453154,True
2,10,Z,Right_Hippocampus,-0.32121212121212117,0.3654683104386702,10,-0.43715027451535776,True
2,10,Z,Right_Pallidum,0.6363636363636362,0.04791172612997547,10,1.3195581824038183,True
2,10,Z,Right_Putamen,0.309090909090909,0.3848412302612835,10,0.4147184056681695,True
2,10,Z,Right_Thalamus,-0.18787878787878787,0.603217610029209,10,-0.21952598838019957,True
2,10,Z,Right_VentralDC,-0.22424242424242422,0.5334005612725947,10,-0.272946531658024,True
2,10,Z,ctx_lh_bankssts,-0.34545454545454546,0.32822651147136733,10,-0.4838263430857458,False
2,10,Z,ctx_lh_caudalanteriorcingulate,-0.17575757575757575,0.6271883447764844,10,-0.20260202086936144,False
2,10,Z,ctx_lh_caudalmiddlefrontal,0.12727272727272726,0.7260570147627894,10,0.1390292743072959,False
2,10,Z,ctx_lh_cuneus,-0.4424242424242424,0.20042268671194224,10,-0.698053120348942,False
2,10,Z,ctx_lh_entorhinal,-0.22424242424242422,0.5334005612725947,10,-0.272946531658024,False
2,10,Z,ctx_lh_frontalpole,0.4545454545454545,0.186904810349332,10,0.7283795210861914,False
2,10,Z,ctx_lh_fusiform,-0.2727272727272727,0.44583834154275137,10,-0.35082258546453154,False
2,10,Z,ctx_lh_inferiorparietal,0.17575757575757575,0.6271883447764844,10,0.20260202086936144,False
2,10,Z,ctx_lh_inferiortemporal,-0.17575757575757575,0.6271883447764844,10,-0.20260202086936144,False
2,10,Z,ctx_lh_insula,-0.10303030303030303,0.7769984634438898,10,-0.1095798400388536,False
2,10,Z,ctx_lh_isthmuscingulate,-0.07878787878787878,0.8287173946974606,10,-0.08159354526172075,False
2,10,Z,ctx_lh_lateraloccipital,-0.1515151515151515,0.6760651759978538,10,-0.17001143392259718,False
2,10,Z,ctx_lh_lateralorbitofrontal,0.01818181818181818,0.9602404181286243,10,0.01762001779947147,False
2,10,Z,ctx_lh_lingual,-0.49090909090909085,0.14965567342083677,10,-0.8249068144826027,False
2,10,Z,ctx_lh_medialorbitofrontal,0.09090909090909088,0.8027717312071619,10,0.0954079291552768,False
2,10,Z,ctx_lh_middletemporal,0.10303030303030303,0.7769984634438898,10,0.1095798400388536,False
2,10,Z,ctx_lh_paracentral,0.09090909090909088,0.8027717312071619,10,0.0954079291552768,False
2,10,Z,ctx_lh_parahippocampal,-0.16363636363636364,0.6514773427962428,10,-0.18610068366539814,False
2,10,Z,ctx_lh_parsopercularis,0.19999999999999998,0.5795840000000001,10,0.23688361217191653,False
2,10,Z,ctx_lh_parsorbitalis,-0.19999999999999998,0.5795840000000001,10,-0.23688361217191653,False
2,10,Z,ctx_lh_parstriangularis,0.4545454545454545,0.186904810349332,10,0.7283795210861914,False
2,10,Z,ctx_lh_pericalcarine,-0.04242424242424241,0.907363817812816,10,-0.04221854272212306,False
2,10,Z,ctx_lh_postcentral,0.0303030303030303,0.9337729580941466,10,0.029758707317340795,False
2,10,Z,ctx_lh_posteriorcingulate,0.05454545454545454,0.8810361811618526,10,0.05500625622326251,False
2,10,Z,ctx_lh_precentral,0.34545454545454546,0.32822651147136733,10,0.4838263430857458,False
2,10,Z,ctx_lh_precuneus,-0.006060606060606061,0.9867429111949892,10,-0.005795984912135871,False
2,10,Z,ctx_lh_rostralanteriorcingulate,0.23636363636363633,0.5108853175152002,10,0.29167657845642647,False
2,10,Z,ctx_lh_rostralmiddlefrontal,0.19999999999999998,0.5795840000000001,10,0.23688361217191653,False
2,10,Z,ctx_lh_superiorfrontal,-0.1515151515151515,0.6760651759978538,10,-0.17001143392259718,False
2,10,Z,ctx_lh_superiorparietal,0.01818181818181818,0.9602404181286243,10,0.01762001779947147,False
2,10,Z,ctx_lh_superiortemporal,-0.6363636363636362,0.04791172612997547,10,-1.3195581824038183,False
2,10,Z,ctx_lh_supramarginal,-0.2121212121212121,0.5563057751029299,10,-0.25468643155240167,False
2,10,Z,ctx_lh_temporalpole,-0.41818181818181815,0.22911284098281892,10,-0.6399505694238794,False
